date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:16	110132/110132	U-----	200	untouched ('')	image/jpeg	etag:%225a002bae-1ae34%22	http://zoyothemes.com/blogezy/images/blog/blog-5.jpg	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/blog/blog-5.jpg	(from http://zoyothemes.com/blogezy/)
12:28:16	7608/7608	U-----	200	untouched ('')	image/jpeg	etag:%225a002bae-1db8%22	http://zoyothemes.com/blogezy/images/works/img1.jpg	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/works/img1.jpg	(from http://zoyothemes.com/blogezy/)
12:28:16	203817/203817	U-----	200	untouched ('')	image/jpeg	etag:%225a002bae-31c29%22	http://zoyothemes.com/blogezy/images/photo.jpg	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/photo.jpg	(from http://zoyothemes.com/blogezy/)
12:28:17	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202019%2009:15:24%20GMT	http://zoyothemes.com/blogezy/blog-single.html	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/blog-single.html	(from http://zoyothemes.com/blogezy/standard-post.html)
12:28:17	21140/21140	U-----	200	untouched ('')	image/jpeg	etag:%225a002bae-5294%22	http://zoyothemes.com/blogezy/images/works/img2.jpg	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/works/img2.jpg	(from http://zoyothemes.com/blogezy/)
12:28:17	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202019%2009:15:25%20GMT	http://zoyothemes.com/blogezy/single-post2.html	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/single-post2.html	(from http://zoyothemes.com/blogezy/standard-post.html)
12:28:17	12387/12387	U-----	200	untouched ('')	image/jpeg	etag:%225a002bae-3063%22	http://zoyothemes.com/blogezy/images/works/img3.jpg	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/works/img3.jpg	(from http://zoyothemes.com/blogezy/)
12:28:18	86709/86709	U-----	200	untouched ('OK')	application/x-javascript	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/js/jquery.min.js	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/js/jquery.min.js	(from http://zoyothemes.com/blogezy/)
12:28:18	19033/19033	U-----	200	untouched ('OK')	application/x-javascript	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/js/popper.min.js	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/js/popper.min.js	(from http://zoyothemes.com/blogezy/)
12:28:18	51143/51143	U-----	200	untouched ('OK')	application/x-javascript	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/js/bootstrap.min.js	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/js/bootstrap.min.js	(from http://zoyothemes.com/blogezy/)
