date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:54	203817/203817	---M--	200	added ('OK')	image/jpeg	etag:%225a002bae-31c29%22	http://zoyothemes.com/blogezy/images/photo.jpg	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/photo.jpg	(from http://zoyothemes.com/blogezy/)
00:56:59	103708/103708	---M--	200	added ('OK')	application/octet-stream	etag:%225a002bae-1951c%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.woff2?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.woff2	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
00:57:17	274684/274684	---M--	200	added ('OK')	application/octet-stream	etag:%225a002bae-430fc%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.eot?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.eot	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
00:57:17	135276/135276	---M--	200	added ('OK')	application/octet-stream	etag:%225a002bae-2106c%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.woff?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.woff	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
00:57:17	274684/274684	---M--	200	added ('OK')	application/octet-stream	etag:%225a002bae-430fc%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.eot?	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontd41d.eot	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
00:57:19	177/177	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Apr%202019%2021:44:25%20GMT	http://zoyothemes.com/blogezy/blog-single.html	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/blog-single.26.delayed	(from http://zoyothemes.com/blogezy/standard-post.html)
00:57:24	177/177	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Apr%202019%2021:44:30%20GMT	http://zoyothemes.com/blogezy/single-post2.html	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/single-post2.28.delayed	(from http://zoyothemes.com/blogezy/standard-post.html)
00:57:29	2079231/2079231	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.svg?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.svg	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
00:57:30	17885/17885	---M--	200	added ('OK')	image/png	etag:%225a002bae-45dd%22	http://zoyothemes.com/blogezy/images/user/user-5.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-5.png	(from http://zoyothemes.com/blogezy/standard-post.html)
00:57:31	18419/18419	---M--	200	added ('OK')	image/png	etag:%225a002bae-47f3%22	http://zoyothemes.com/blogezy/images/user/user-2.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-2.png	(from http://zoyothemes.com/blogezy/standard-post.html)
00:57:31	16010/16010	---M--	200	added ('OK')	image/png	etag:%225a002bae-3e8a%22	http://zoyothemes.com/blogezy/images/user/user-3.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-3.png	(from http://zoyothemes.com/blogezy/standard-post.html)
00:57:33	12231/12231	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/css/owl-carousel.css	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/css/owl-carousel.css	(from http://zoyothemes.com/blogezy/gallery-post.html)
00:57:33	18529/18529	---M--	200	added ('OK')	image/png	etag:%225a002bae-4861%22	http://zoyothemes.com/blogezy/images/user/user-4.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-4.png	(from http://zoyothemes.com/blogezy/standard-post.html)
00:57:33	16328/16328	---M--	200	added ('OK')	image/png	etag:%225a002bae-3fc8%22	http://zoyothemes.com/blogezy/images/user/user-6.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/images/user/user-6.png	(from http://zoyothemes.com/blogezy/standard-post.html)
00:57:34	40401/40401	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Nov%202017%2009:30:22%20GMT	http://zoyothemes.com/blogezy/js/owl.carousel.min.js	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/js/owl.carousel.min.js	(from http://zoyothemes.com/blogezy/gallery-post.html)
00:57:38	274464/274464	---M--	200	added ('OK')	application/octet-stream	etag:%225a002bae-43020%22	http://zoyothemes.com/blogezy/fonts/materialdesignicons-webfont.ttf?v=1.9.32	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/fonts/materialdesignicons-webfontb43a.ttf	(from http://zoyothemes.com/blogezy/css/materialdesignicons.min.css)
00:57:42	177/177	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Apr%202019%2021:44:49%20GMT	http://zoyothemes.com/blogezy/css/owl.video.play.png	C:/My%20Web%20Sites/Blog-index/zoyothemes.com/blogezy/css/owl.video.play.png	(from http://zoyothemes.com/blogezy/css/owl-carousel.css)
